account_id,signup_date,channel,region,is_holdout,signup_method
acct_0001,2026-09-07,paid_search,US-East,False,github_oauth
acct_0002,2026-07-16,paid_social,US-East,False,github_oauth
acct_0003,2026-09-01,community_events,US-East,True,github_oauth
acct_0004,2026-07-17,organic_direct,LATAM,True,github_oauth
acct_0005,2026-09-09,organic_direct,APAC-SG,False,email
acct_0006,2026-06-18,paid_social,APAC-SG,False,github_oauth
acct_0007,2026-07-15,developer_sponsorship,US-East,True,github_oauth
acct_0008,2026-08-02,developer_sponsorship,LATAM,False,github_oauth
acct_0009,2026-08-15,organic_direct,US-East,False,email
acct_0010,2026-06-28,organic_direct,EU-Central,False,email
acct_0011,2026-08-30,paid_social,US-East,True,github_oauth
acct_0012,2026-07-25,paid_search,US-West,False,email
acct_0013,2026-07-23,community_events,EU-Central,False,email
acct_0014,2026-07-14,developer_sponsorship,US-East,False,github_oauth
acct_0015,2026-08-25,paid_social,US-West,False,email
acct_0016,2026-09-07,organic_direct,US-West,False,github_oauth
acct_0017,2026-07-17,paid_search,EU-Central,False,github_oauth
acct_0018,2026-07-15,organic_direct,EU-Central,False,email
acct_0019,2026-08-07,community_events,US-West,False,github_oauth
acct_0020,2026-08-28,organic_direct,EU-Central,False,email
acct_0021,2026-08-31,community_events,EU-Central,False,github_oauth
acct_0022,2026-08-22,community_events,US-East,False,github_oauth
acct_0023,2026-07-07,paid_social,APAC-SG,False,email
acct_0024,2026-08-05,organic_direct,APAC-SG,False,github_oauth
acct_0025,2026-09-13,paid_search,LATAM,False,email
acct_0026,2026-07-02,developer_sponsorship,APAC-SG,False,github_oauth
acct_0027,2026-07-21,organic_direct,US-West,False,github_oauth
acct_0028,2026-09-06,developer_sponsorship,LATAM,False,github_oauth
acct_0029,2026-08-04,paid_social,LATAM,False,github_oauth
acct_0030,2026-09-02,developer_sponsorship,APAC-SG,True,email
acct_0031,2026-07-27,paid_social,US-East,False,github_oauth
acct_0032,2026-06-28,community_events,US-East,False,github_oauth
acct_0033,2026-07-04,community_events,LATAM,False,email
acct_0034,2026-07-15,organic_direct,US-West,False,email
acct_0035,2026-09-11,developer_sponsorship,APAC-SG,False,email
acct_0036,2026-07-03,paid_social,US-West,True,github_oauth
acct_0037,2026-09-01,organic_direct,US-West,False,github_oauth
acct_0038,2026-06-27,paid_search,US-West,True,github_oauth
acct_0039,2026-07-30,paid_search,LATAM,False,email
acct_0040,2026-07-15,organic_direct,US-West,False,email
acct_0041,2026-07-19,community_events,APAC-SG,False,github_oauth
acct_0042,2026-09-10,community_events,EU-Central,False,email
acct_0043,2026-06-24,paid_search,US-East,False,email
acct_0044,2026-07-01,paid_social,US-West,False,email
acct_0045,2026-07-05,community_events,US-West,False,github_oauth
acct_0046,2026-06-27,community_events,LATAM,True,github_oauth
acct_0047,2026-06-29,paid_social,US-West,False,email
acct_0048,2026-07-15,community_events,US-East,False,github_oauth
acct_0049,2026-08-06,developer_sponsorship,APAC-SG,False,email
acct_0050,2026-07-07,paid_social,EU-Central,False,github_oauth
acct_0051,2026-08-31,organic_direct,US-East,False,github_oauth
acct_0052,2026-06-24,organic_direct,APAC-SG,False,github_oauth
acct_0053,2026-06-25,organic_direct,US-East,False,github_oauth
acct_0054,2026-09-02,paid_search,US-West,False,github_oauth
acct_0055,2026-08-31,organic_direct,US-East,False,email
acct_0056,2026-09-10,organic_direct,LATAM,False,email
acct_0057,2026-07-14,developer_sponsorship,US-West,False,github_oauth
acct_0058,2026-09-11,developer_sponsorship,APAC-SG,False,github_oauth
acct_0059,2026-06-19,community_events,LATAM,False,github_oauth
acct_0060,2026-06-27,organic_direct,US-West,False,github_oauth
acct_0061,2026-08-01,paid_search,US-West,False,github_oauth
acct_0062,2026-08-13,organic_direct,EU-Central,False,github_oauth
acct_0063,2026-09-11,organic_direct,EU-Central,False,github_oauth
acct_0064,2026-07-05,developer_sponsorship,US-East,False,github_oauth
acct_0065,2026-07-22,developer_sponsorship,LATAM,False,email
acct_0066,2026-07-14,developer_sponsorship,LATAM,False,github_oauth
acct_0067,2026-06-29,community_events,EU-Central,True,email
acct_0068,2026-07-04,developer_sponsorship,US-West,False,email
acct_0069,2026-08-28,paid_search,US-East,True,github_oauth
acct_0070,2026-08-26,paid_search,EU-Central,False,github_oauth
acct_0071,2026-08-12,paid_social,US-East,False,github_oauth
acct_0072,2026-08-02,paid_social,US-West,False,email
acct_0073,2026-08-28,community_events,LATAM,False,github_oauth
acct_0074,2026-07-08,paid_social,APAC-SG,True,email
acct_0075,2026-08-09,paid_social,EU-Central,False,github_oauth
acct_0076,2026-08-05,paid_search,APAC-SG,False,email
acct_0077,2026-08-01,developer_sponsorship,US-West,False,github_oauth
acct_0078,2026-08-08,developer_sponsorship,EU-Central,False,email
acct_0079,2026-08-01,organic_direct,APAC-SG,False,email
acct_0080,2026-06-21,paid_search,EU-Central,False,email
acct_0081,2026-06-22,paid_search,LATAM,False,email
acct_0082,2026-08-12,organic_direct,LATAM,False,github_oauth
acct_0083,2026-07-20,paid_search,APAC-SG,True,github_oauth
acct_0084,2026-08-03,community_events,US-East,False,email
acct_0085,2026-09-05,developer_sponsorship,US-East,False,email
acct_0086,2026-08-21,developer_sponsorship,APAC-SG,False,email
acct_0087,2026-08-27,paid_social,US-West,False,email
acct_0088,2026-09-12,paid_social,LATAM,False,email
acct_0089,2026-08-27,paid_search,EU-Central,False,email
acct_0090,2026-08-31,organic_direct,EU-Central,False,email
acct_0091,2026-09-12,paid_social,LATAM,False,github_oauth
acct_0092,2026-09-10,paid_search,EU-Central,False,email
acct_0093,2026-06-29,paid_social,EU-Central,False,github_oauth
acct_0094,2026-07-06,paid_search,US-East,False,email
acct_0095,2026-09-04,paid_search,APAC-SG,False,github_oauth
acct_0096,2026-09-15,community_events,APAC-SG,False,github_oauth
acct_0097,2026-09-09,paid_search,US-East,False,github_oauth
acct_0098,2026-07-10,organic_direct,APAC-SG,True,github_oauth
acct_0099,2026-07-03,community_events,US-West,False,email
acct_0100,2026-08-13,organic_direct,LATAM,False,email
acct_0101,2026-07-08,community_events,APAC-SG,False,github_oauth
acct_0102,2026-09-07,developer_sponsorship,LATAM,False,github_oauth
acct_0103,2026-07-23,community_events,US-East,False,github_oauth
acct_0104,2026-07-22,developer_sponsorship,EU-Central,False,github_oauth
acct_0105,2026-07-05,paid_social,US-West,False,github_oauth
acct_0106,2026-07-15,paid_search,APAC-SG,False,email
acct_0107,2026-08-10,paid_search,US-West,False,email
acct_0108,2026-08-31,paid_search,LATAM,False,github_oauth
acct_0109,2026-08-02,developer_sponsorship,APAC-SG,False,email
acct_0110,2026-08-25,organic_direct,LATAM,False,email
acct_0111,2026-07-16,developer_sponsorship,APAC-SG,False,email
acct_0112,2026-07-31,community_events,US-West,False,github_oauth
acct_0113,2026-09-05,organic_direct,US-East,False,github_oauth
acct_0114,2026-06-28,community_events,US-West,False,github_oauth
acct_0115,2026-06-24,developer_sponsorship,APAC-SG,False,email
acct_0116,2026-07-29,developer_sponsorship,APAC-SG,False,email
acct_0117,2026-07-20,paid_search,APAC-SG,True,github_oauth
acct_0118,2026-08-01,paid_social,US-East,False,github_oauth
acct_0119,2026-06-21,paid_social,US-West,False,github_oauth
acct_0120,2026-07-18,paid_social,APAC-SG,False,github_oauth
acct_0121,2026-08-16,developer_sponsorship,EU-Central,False,github_oauth
acct_0122,2026-07-08,developer_sponsorship,US-East,False,email
acct_0123,2026-08-30,community_events,APAC-SG,False,github_oauth
acct_0124,2026-06-27,organic_direct,US-West,False,email
acct_0125,2026-09-13,organic_direct,US-East,False,github_oauth
acct_0126,2026-08-01,organic_direct,APAC-SG,False,github_oauth
acct_0127,2026-08-21,developer_sponsorship,US-East,False,email
acct_0128,2026-07-01,community_events,EU-Central,False,email
acct_0129,2026-07-07,community_events,US-West,False,email
acct_0130,2026-09-04,organic_direct,APAC-SG,False,email
acct_0131,2026-07-29,paid_social,US-East,False,email
acct_0132,2026-07-19,community_events,LATAM,False,email
acct_0133,2026-07-31,paid_search,APAC-SG,False,github_oauth
acct_0134,2026-08-19,paid_social,EU-Central,False,email
acct_0135,2026-07-23,organic_direct,EU-Central,False,github_oauth
acct_0136,2026-06-28,paid_social,APAC-SG,False,github_oauth
acct_0137,2026-09-14,community_events,APAC-SG,False,github_oauth
acct_0138,2026-06-29,developer_sponsorship,US-West,False,github_oauth
acct_0139,2026-07-27,organic_direct,EU-Central,False,email
acct_0140,2026-08-11,organic_direct,EU-Central,False,email
acct_0141,2026-07-22,developer_sponsorship,EU-Central,False,github_oauth
acct_0142,2026-07-28,paid_search,LATAM,False,github_oauth
acct_0143,2026-07-12,paid_social,APAC-SG,False,email
acct_0144,2026-06-30,paid_social,EU-Central,False,github_oauth
acct_0145,2026-07-26,paid_search,LATAM,False,github_oauth
acct_0146,2026-06-24,organic_direct,EU-Central,False,github_oauth
acct_0147,2026-09-07,community_events,US-East,False,email
acct_0148,2026-08-17,community_events,APAC-SG,False,github_oauth
acct_0149,2026-07-20,community_events,US-East,False,email
acct_0150,2026-08-19,paid_search,LATAM,False,github_oauth
acct_0151,2026-07-07,paid_social,LATAM,False,github_oauth
acct_0152,2026-07-19,paid_search,LATAM,False,github_oauth
acct_0153,2026-08-23,community_events,APAC-SG,False,email
acct_0154,2026-09-01,community_events,EU-Central,False,github_oauth
acct_0155,2026-09-04,paid_search,US-West,False,email
acct_0156,2026-09-10,paid_search,US-West,False,github_oauth
acct_0157,2026-07-08,paid_search,APAC-SG,False,email
acct_0158,2026-07-25,paid_search,US-West,False,email
acct_0159,2026-09-15,community_events,US-East,False,email
acct_0160,2026-09-06,organic_direct,US-West,False,github_oauth
acct_0161,2026-09-08,paid_social,EU-Central,False,github_oauth
acct_0162,2026-06-25,paid_social,EU-Central,False,email
acct_0163,2026-08-13,paid_search,APAC-SG,False,email
acct_0164,2026-07-22,organic_direct,LATAM,False,github_oauth
acct_0165,2026-09-02,paid_search,APAC-SG,False,email
acct_0166,2026-06-21,paid_search,US-West,False,github_oauth
acct_0167,2026-09-12,developer_sponsorship,LATAM,True,github_oauth
acct_0168,2026-08-17,organic_direct,APAC-SG,False,github_oauth
acct_0169,2026-08-31,community_events,APAC-SG,False,email
acct_0170,2026-08-01,community_events,EU-Central,False,github_oauth
acct_0171,2026-07-08,developer_sponsorship,APAC-SG,False,email
acct_0172,2026-09-10,community_events,LATAM,True,github_oauth
acct_0173,2026-07-28,developer_sponsorship,EU-Central,False,email
acct_0174,2026-08-22,paid_search,LATAM,False,github_oauth
acct_0175,2026-07-12,organic_direct,EU-Central,False,email
acct_0176,2026-09-06,community_events,US-East,False,github_oauth
acct_0177,2026-07-24,community_events,APAC-SG,False,github_oauth
acct_0178,2026-07-08,developer_sponsorship,LATAM,True,email
acct_0179,2026-06-29,paid_social,US-East,False,github_oauth
acct_0180,2026-09-08,paid_social,APAC-SG,False,email
acct_0181,2026-08-22,developer_sponsorship,APAC-SG,False,email
acct_0182,2026-07-19,community_events,LATAM,False,github_oauth
acct_0183,2026-09-02,organic_direct,US-West,False,email
acct_0184,2026-08-10,developer_sponsorship,LATAM,False,github_oauth
acct_0185,2026-07-24,developer_sponsorship,LATAM,False,email
acct_0186,2026-07-07,community_events,LATAM,False,email
acct_0187,2026-08-27,organic_direct,APAC-SG,False,email
acct_0188,2026-07-12,paid_social,LATAM,False,email
acct_0189,2026-06-23,developer_sponsorship,APAC-SG,False,email
acct_0190,2026-08-06,paid_social,APAC-SG,False,github_oauth
acct_0191,2026-08-21,organic_direct,EU-Central,False,email
acct_0192,2026-06-30,organic_direct,APAC-SG,True,github_oauth
acct_0193,2026-08-09,paid_social,US-East,False,email
acct_0194,2026-07-31,organic_direct,APAC-SG,False,email
acct_0195,2026-09-12,organic_direct,APAC-SG,False,email
acct_0196,2026-08-26,paid_search,LATAM,True,email
acct_0197,2026-07-17,paid_search,APAC-SG,False,github_oauth
acct_0198,2026-08-13,paid_social,EU-Central,False,github_oauth
acct_0199,2026-07-29,paid_search,EU-Central,False,email
acct_0200,2026-07-06,paid_social,LATAM,False,github_oauth
acct_0201,2026-07-09,paid_social,US-East,False,email
acct_0202,2026-09-05,paid_social,APAC-SG,False,github_oauth
acct_0203,2026-07-17,community_events,EU-Central,False,github_oauth
acct_0204,2026-08-16,developer_sponsorship,LATAM,False,email
acct_0205,2026-08-01,organic_direct,EU-Central,False,email
acct_0206,2026-09-14,developer_sponsorship,APAC-SG,False,github_oauth
acct_0207,2026-08-06,community_events,US-East,False,email
acct_0208,2026-08-30,developer_sponsorship,EU-Central,True,email
acct_0209,2026-07-23,paid_search,LATAM,False,github_oauth
acct_0210,2026-09-03,community_events,EU-Central,False,github_oauth
acct_0211,2026-09-03,developer_sponsorship,US-West,False,email
acct_0212,2026-09-12,paid_social,US-East,False,github_oauth
acct_0213,2026-07-27,community_events,US-East,False,github_oauth
acct_0214,2026-06-29,developer_sponsorship,EU-Central,False,github_oauth
acct_0215,2026-07-13,paid_social,LATAM,False,email
acct_0216,2026-08-24,organic_direct,EU-Central,False,email
acct_0217,2026-08-18,developer_sponsorship,EU-Central,False,email
acct_0218,2026-06-27,paid_social,US-West,False,email
acct_0219,2026-08-28,developer_sponsorship,US-East,False,github_oauth
acct_0220,2026-07-21,organic_direct,US-East,False,email
acct_0221,2026-08-31,community_events,EU-Central,False,github_oauth
acct_0222,2026-08-17,paid_search,LATAM,False,email
acct_0223,2026-09-04,paid_social,US-East,False,email
acct_0224,2026-09-15,developer_sponsorship,APAC-SG,False,github_oauth
acct_0225,2026-06-22,developer_sponsorship,APAC-SG,False,github_oauth
acct_0226,2026-08-25,paid_social,APAC-SG,False,email
acct_0227,2026-09-01,paid_social,APAC-SG,False,email
acct_0228,2026-09-04,community_events,EU-Central,True,email
acct_0229,2026-07-15,community_events,APAC-SG,False,email
acct_0230,2026-06-30,developer_sponsorship,LATAM,False,email
acct_0231,2026-06-25,community_events,EU-Central,False,github_oauth
acct_0232,2026-08-15,paid_search,US-West,False,github_oauth
acct_0233,2026-06-24,developer_sponsorship,US-West,False,github_oauth
acct_0234,2026-06-26,organic_direct,US-West,False,github_oauth
acct_0235,2026-07-30,paid_social,LATAM,True,github_oauth
acct_0236,2026-07-04,organic_direct,EU-Central,False,github_oauth
acct_0237,2026-09-10,paid_search,US-West,True,github_oauth
acct_0238,2026-09-01,developer_sponsorship,US-East,False,github_oauth
acct_0239,2026-07-04,community_events,LATAM,False,github_oauth
acct_0240,2026-08-17,community_events,EU-Central,False,github_oauth
acct_0241,2026-08-14,organic_direct,US-West,False,github_oauth
acct_0242,2026-09-10,organic_direct,EU-Central,False,github_oauth
acct_0243,2026-06-25,community_events,APAC-SG,False,github_oauth
acct_0244,2026-08-19,community_events,US-East,False,email
