title,points,num_comments,created_at
Supabase (YC S20) – An open source Firebase alternative,1120,366,2020-05-27T06:13:59Z
Supabase MCP can leak your entire SQL database,848,470,2025-07-08T17:46:55Z
Supabase Storage now supports the S3 protocol,501,187,2024-04-19T05:51:32Z
Migrating from Supabase,382,134,2023-05-19T17:57:53Z
Supabase – Realtime: Multiplayer Edition,356,143,2022-08-18T14:45:20Z
Supabase Edge Runtime: Self-Hosted Deno Functions,349,102,2023-04-11T13:57:45Z
Supabase raises $200M Series D at $2B valuation,342,342,2025-04-22T15:17:23Z
Supabase open sourced their dashboard,331,39,2021-12-01T07:33:12Z
From Supabase to Clerk to Better Auth,304,240,2026-05-06T17:19:34Z
"Fly Postgres, Managed by Supabase",292,118,2023-12-15T11:52:56Z
Supabase Edge Functions,268,64,2022-03-31T16:13:50Z
"Using GPT3, Supabase and Pinecone to automate a personalized marketing campaign",252,62,2023-02-25T18:22:36Z
Supabase (YC S20) raises $80M Series B,247,126,2022-05-10T16:08:43Z
Supabase Logs: open-source logging server,237,67,2023-04-10T23:39:43Z
GraphQL is now available on Supabase,222,47,2022-03-29T17:48:16Z
"Supabase Beta: Auth, SQL Editor, Benchmarks",217,50,2020-12-03T14:40:32Z
"Poor Man's Back End-as-a-Service (BaaS), Similar to Firebase/Supabase/Pocketbase",205,126,2025-07-03T15:35:34Z
Supabase Vault,198,70,2022-08-20T14:31:33Z
Storage is now available in Supabase (YC S20),194,76,2021-03-30T14:45:12Z
Supabase Storage v3: Resumable Uploads with support for 50GB files,188,57,2023-04-12T13:03:18Z
