date,channel,region,spend,impressions,clicks,platform_reported_conversions
2026-06-18,paid_search,US-East,650.19,33322,699,23
2026-06-18,paid_search,US-West,628.04,52651,2405,60
2026-06-18,paid_search,EU-Central,428.92,22085,413,20
2026-06-18,paid_search,APAC-SG,286.37,17165,617,32
2026-06-18,paid_search,LATAM,291.29,23146,980,19
2026-06-18,paid_social,US-East,426.06,36175,854,25
2026-06-18,paid_social,US-West,420.53,28103,385,9
2026-06-18,paid_social,EU-Central,326.29,26163,1106,70
2026-06-18,paid_social,APAC-SG,245.22,24192,608,32
2026-06-18,paid_social,LATAM,251.5,20352,905,49
2026-06-18,developer_sponsorship,US-East,269.46,14090,269,10
2026-06-18,developer_sponsorship,US-West,164.53,10141,142,5
2026-06-18,developer_sponsorship,EU-Central,194.65,13283,329,10
2026-06-18,developer_sponsorship,APAC-SG,137.63,13327,478,27
2026-06-18,developer_sponsorship,LATAM,112.38,9715,160,6
2026-06-18,community_events,US-East,232.87,19095,616,37
2026-06-18,community_events,US-West,198.94,17665,338,7
2026-06-18,community_events,EU-Central,120.05,7609,140,10
2026-06-18,community_events,APAC-SG,147.1,9669,350,15
2026-06-18,community_events,LATAM,131.12,9564,196,6
2026-06-18,organic_direct,US-East,62.21,3927,131,9
2026-06-18,organic_direct,US-West,51.68,3150,157,7
2026-06-18,organic_direct,EU-Central,33.95,1777,25,1
2026-06-18,organic_direct,APAC-SG,47.01,3342,41,1
2026-06-18,organic_direct,LATAM,45.42,3472,169,12
2026-06-19,paid_search,US-East,424.13,36490,1359,70
2026-06-19,paid_search,US-West,473.05,38812,561,25
2026-06-19,paid_search,EU-Central,437.51,42740,1924,68
2026-06-19,paid_search,APAC-SG,400.14,23581,1096,79
2026-06-19,paid_search,LATAM,307.67,25212,866,25
2026-06-19,paid_social,US-East,416.7,32072,1319,68
2026-06-19,paid_social,US-West,231.11,15301,164,12
2026-06-19,paid_social,EU-Central,331.35,30346,676,15
2026-06-19,paid_social,APAC-SG,294.43,28662,384,18
2026-06-19,paid_social,LATAM,155.72,13708,557,15
2026-06-19,developer_sponsorship,US-East,236.44,18321,377,27
2026-06-19,developer_sponsorship,US-West,209.85,12714,401,25
2026-06-19,developer_sponsorship,EU-Central,147.72,9688,482,28
2026-06-19,developer_sponsorship,APAC-SG,154.06,11689,173,5
2026-06-19,developer_sponsorship,LATAM,126.4,10038,192,6
2026-06-19,community_events,US-East,133.67,10901,208,15
