project_id,account_id,provisioned_at,has_auth,has_storage,has_edge_functions,has_pgvector,time_to_first_query_min,compute_hours,db_size_mb,egress_gb,is_pro_upgrade,pro_upgrade_date,monthly_invoice_usd
proj_0001,acct_0001,2026-09-08,True,True,True,False,20.6,446.09,443.82,42.19,True,2026-09-22,135.51
proj_0002,acct_0002,2026-07-16,True,False,False,False,14.0,139.1,4347.81,75.88,False,,0.0
proj_0003,acct_0003,2026-09-07,True,True,False,False,3.7,48.36,4239.0,60.37,False,,0.0
proj_0004,acct_0004,2026-07-24,True,False,True,False,25.1,309.26,4309.92,57.74,False,,0.0
proj_0005,acct_0005,2026-09-09,True,False,False,False,26.1,190.06,2272.52,83.41,False,,0.0
proj_0006,acct_0006,2026-06-23,True,True,False,False,18.7,85.57,3648.34,16.34,False,,0.0
proj_0007,acct_0007,2026-07-18,True,False,False,True,1.9,157.73,1346.03,21.1,False,,0.0
proj_0008,acct_0008,2026-08-07,True,True,False,False,5.1,69.82,3727.5,53.9,False,,0.0
proj_0009,acct_0009,2026-08-21,False,True,True,False,15.8,45.45,245.11,10.96,False,,0.0
proj_0010,acct_0010,2026-07-04,True,True,False,False,8.3,276.61,4712.73,68.03,True,2026-08-30,280.06
proj_0011,acct_0011,2026-09-03,True,True,True,True,1.1,361.05,3601.21,97.19,False,,0.0
proj_0012,acct_0012,2026-07-26,False,True,False,False,5.4,381.26,2701.5,77.86,False,,0.0
proj_0013,acct_0013,2026-07-23,True,True,True,False,29.6,403.39,1204.87,24.09,False,,0.0
proj_0014,acct_0014,2026-07-15,True,True,True,False,23.2,64.2,2381.66,54.98,False,,0.0
proj_0015,acct_0015,2026-08-31,False,False,False,False,21.7,199.5,3361.72,37.34,False,,0.0
proj_0016,acct_0016,2026-09-14,True,True,True,False,7.7,110.11,364.26,63.11,False,,0.0
proj_0017,acct_0017,2026-07-17,False,True,True,False,7.2,66.16,4678.22,57.1,False,,0.0
proj_0018,acct_0018,2026-07-22,False,True,True,False,13.3,233.51,3648.09,67.34,False,,0.0
proj_0019,acct_0019,2026-08-08,True,False,False,True,6.6,268.14,709.51,18.35,False,,0.0
proj_0020,acct_0020,2026-08-29,True,False,False,True,30.0,418.01,4845.29,92.64,False,,0.0
proj_0021,acct_0021,2026-09-02,True,True,False,False,5.8,1.08,1958.2,92.65,False,,0.0
proj_0022,acct_0022,2026-08-26,True,False,False,False,21.8,77.4,1490.57,96.87,False,,0.0
proj_0023,acct_0023,2026-07-07,True,True,False,False,25.7,78.72,4804.29,8.01,False,,0.0
proj_0024,acct_0024,2026-08-06,True,True,True,False,8.1,297.26,3100.71,41.92,False,,0.0
proj_0025,acct_0025,2026-09-18,False,True,False,True,12.5,335.85,1506.99,31.62,False,,0.0
proj_0026,acct_0026,2026-07-03,True,False,False,True,16.6,252.94,670.96,34.9,True,2026-07-19,200.53
proj_0027,acct_0027,2026-07-23,True,True,True,False,24.4,264.47,3342.64,55.46,False,,0.0
proj_0028,acct_0028,2026-09-07,False,True,True,True,17.0,136.17,3028.1,71.76,False,,0.0
proj_0029,acct_0029,2026-08-08,True,True,False,True,19.4,414.67,229.99,33.36,True,2026-08-25,101.75
proj_0030,acct_0030,2026-09-09,True,True,True,True,26.6,451.96,2732.5,83.46,False,,0.0
proj_0031,acct_0031,2026-07-29,True,True,True,False,29.2,19.95,1795.47,68.21,False,,0.0
proj_0032,acct_0032,2026-07-03,True,False,False,False,5.5,464.94,4324.38,97.62,False,,0.0
proj_0033,acct_0033,2026-07-10,True,False,True,False,24.3,432.03,4055.64,26.68,False,,0.0
proj_0034,acct_0034,2026-07-16,True,True,False,True,27.6,174.83,4104.48,87.13,False,,0.0
proj_0035,acct_0035,2026-09-14,True,True,True,False,11.2,254.7,3400.8,84.37,False,,0.0
proj_0036,acct_0036,2026-07-03,True,False,True,False,8.7,54.2,2178.47,72.85,False,,0.0
proj_0037,acct_0037,2026-09-02,True,True,True,False,1.0,462.79,2696.88,71.94,False,,0.0
proj_0038,acct_0038,2026-06-30,True,True,False,False,10.1,424.01,3601.57,30.03,False,,0.0
proj_0039,acct_0039,2026-08-05,True,False,False,True,20.3,189.57,3743.19,17.4,False,,0.0
proj_0040,acct_0040,2026-07-21,True,True,True,False,17.8,327.35,2330.29,44.22,False,,0.0
proj_0041,acct_0041,2026-07-26,True,False,False,False,9.2,331.93,3100.11,9.34,False,,0.0
proj_0042,acct_0042,2026-09-13,True,True,True,True,8.1,237.57,4250.19,7.28,False,,0.0
proj_0043,acct_0043,2026-06-27,True,True,True,True,20.9,446.33,4303.6,88.55,False,,0.0
proj_0044,acct_0044,2026-07-04,True,False,False,True,8.2,424.17,2287.74,80.14,False,,0.0
proj_0045,acct_0045,2026-07-10,False,False,False,False,15.6,415.28,2743.88,89.72,False,,0.0
proj_0046,acct_0046,2026-07-04,True,False,False,True,23.6,242.3,1203.84,43.99,False,,0.0
proj_0047,acct_0047,2026-07-02,True,True,False,True,7.7,346.97,3535.03,6.42,False,,0.0
proj_0048,acct_0048,2026-07-22,True,True,False,False,17.9,347.76,4285.09,76.56,False,,0.0
proj_0049,acct_0049,2026-08-06,False,True,True,False,25.2,269.11,3675.82,79.99,False,,0.0
proj_0050,acct_0050,2026-07-14,True,True,True,False,20.7,202.16,833.57,46.74,True,2026-08-23,278.71
proj_0051,acct_0051,2026-09-06,True,False,True,False,26.1,90.86,1308.18,32.74,False,,0.0
proj_0052,acct_0052,2026-06-29,True,True,False,False,8.3,40.95,106.72,53.94,False,,0.0
proj_0053,acct_0053,2026-06-30,True,True,False,True,1.9,123.64,4197.75,62.13,False,,0.0
proj_0054,acct_0054,2026-09-09,True,True,True,False,23.2,83.89,3040.16,74.79,True,2026-11-01,102.79
proj_0055,acct_0055,2026-09-04,True,True,True,False,28.8,198.33,3577.92,7.6,False,,0.0
proj_0056,acct_0056,2026-09-13,True,False,False,False,4.5,491.92,3915.35,34.72,False,,0.0
proj_0057,acct_0057,2026-07-19,True,False,True,False,15.2,216.76,1817.32,89.16,False,,0.0
proj_0058,acct_0058,2026-09-13,True,False,False,True,24.4,269.09,2422.65,43.56,False,,0.0
proj_0059,acct_0059,2026-06-23,True,True,False,True,14.1,375.24,2853.55,66.82,False,,0.0
proj_0060,acct_0060,2026-07-04,False,True,True,False,10.9,440.16,3508.91,27.63,True,2026-07-17,65.67
proj_0061,acct_0061,2026-08-07,True,False,False,False,15.2,396.47,474.34,22.16,False,,0.0
proj_0062,acct_0062,2026-08-17,True,True,False,False,29.9,275.19,1765.53,45.37,False,,0.0
proj_0063,acct_0063,2026-09-14,True,True,True,False,23.1,92.57,1089.76,48.42,False,,0.0
proj_0064,acct_0064,2026-07-09,False,False,True,False,9.8,354.01,641.65,4.55,True,2026-07-28,356.27
proj_0065,acct_0065,2026-07-24,True,False,True,True,9.2,239.36,1710.12,96.55,False,,0.0
